block_group,wui_flag,poverty_percent_below_1_rank,civ_labor_force_unemployed_percent_2_rank,median_hh_income_3_rank,directional_median_hh_income_3_rank,wfsvi,percent_qualify,COES_DIC,J40,reduced_match_qualify
080010084023,1,0.5,0.63,0.79,0.21,0.29,0,FALSE,0,Not Qualifying
080010085054,1,0.76,0.97,0.52,0.48,0.59,0.384,TRUE,0,Qualifying
080010085055,1,0.9,0,0.28,0.72,0.57,0.337,FALSE,0,Not Qualifying
080010085071,1,0.22,0.79,0.42,0.57,0.74,0.063,TRUE,0,Qualifying
080010085075,1,0.93,0.9,0.41,0.59,0.92,0.894,TRUE,0,Qualifying
080010085081,1,0.58,0.32,0.37,0.63,0.47,0.185,TRUE,0,Qualifying
080010085082,1,0.46,0.45,0.45,0.55,0.43,0,FALSE,0,Not Qualifying
080010085243,1,0.85,0.38,0.72,0.28,0.83,0.482,TRUE,0,Qualifying
080010085245,1,0.3,0.73,0.89,0.11,0.56,0.022,FALSE,0,Not Qualifying
080010085246,1,0,0.81,0.97,0.03,0.37,0.022,FALSE,0,Not Qualifying
080010085261,1,0.23,0.25,0.66,0.34,0.23,0.008,TRUE,0,Qualifying
080010085262,1,0.27,0.55,0.85,0.15,0.53,0.026,FALSE,0,Not Qualifying
080010085265,1,0,0.27,0.88,0.12,0.02,0.023,FALSE,0,Not Qualifying
080010085331,1,0.47,0.46,0.48,0.52,0.41,0.003,TRUE,0,Qualifying
080010085332,1,0.13,0.36,0.44,0.56,0.63,0.093,TRUE,0,Qualifying
080010085333,1,0.61,0.83,0.44,0.56,0.81,0.316,TRUE,0,Qualifying
080010085334,1,0.44,0,0.1,0.9,0.95,0.849,TRUE,0,Qualifying
080010085335,1,0.31,0,0.76,0.24,0.25,0.009,TRUE,0,Qualifying
080010085341,1,0.42,0.72,0.58,0.42,0.52,0.032,TRUE,0,Qualifying
080010085351,1,0.24,0.39,0.73,0.27,0.59,0.018,TRUE,0,Qualifying
080010085352,1,0.95,0.96,0.65,0.35,0.8,0.595,TRUE,0,Qualifying
080010085361,1,0.3,0.23,0.87,0.13,0.27,0,TRUE,0,Qualifying
080010085362,1,0.41,0.32,0.82,0.18,0.66,0.036,TRUE,0,Qualifying
080010085381,1,0,0,0.42,0.58,0.78,0.474,FALSE,0,Qualifying
080010085382,1,0.09,0.73,0.9,0.1,0.3,0,FALSE,0,Not Qualifying
080010085383,1,0.33,0.66,0.9,0.1,0.57,0.044,FALSE,0,Not Qualifying
080010085384,1,0.43,0.77,0.86,0.14,0.55,0.029,FALSE,0,Not Qualifying
080010085401,1,0.65,0,0.73,0.27,0.59,0.153,FALSE,0,Not Qualifying
080010085402,1,0,0.75,0.83,0.17,0.51,0.057,FALSE,0,Not Qualifying
080010085405,1,0.53,0.81,0.73,0.27,0.68,0.008,FALSE,0,Not Qualifying
080010085406,1,0,0.82,0.95,0.05,0.32,0.036,FALSE,0,Not Qualifying
080010085441,1,0,0.88,0.84,0.16,0.45,0.001,FALSE,0,Not Qualifying
080010085442,1,0.88,0.58,0.69,0.3,0.67,0.009,FALSE,0,Not Qualifying
080010085443,1,0.13,0.43,0.97,0.03,0.18,0,FALSE,0,Not Qualifying
080010085451,1,0.13,0.38,0.55,0.45,0.3,0.002,FALSE,0,Not Qualifying
080010085452,1,0.15,0.66,0.8,0.2,0.31,0.011,FALSE,0,Not Qualifying
080010085453,1,0,0.85,0.84,0.16,0.19,0,FALSE,0,Not Qualifying
080010085454,1,0.29,0.42,0.93,0.07,0.11,0.004,FALSE,0,Not Qualifying
080010085455,1,0.3,0,0.75,0.25,0.13,0.065,TRUE,0,Qualifying
080010085491,1,0.42,0.65,0.77,0.23,0.4,0.002,FALSE,0,Not Qualifying
080010085503,1,0.1,0,0.78,0.22,0.31,0.005,FALSE,0,Not Qualifying
080010085505,1,0.1,0.3,0.87,0.13,0.17,0,FALSE,0,Not Qualifying
080010085511,1,0.35,0.51,0.88,0.12,0.58,0,FALSE,0,Not Qualifying
080010085521,1,0.63,0.65,0.6,0.4,0.46,0.37,TRUE,0,Qualifying
080010085522,1,0.52,0.76,0.51,0.49,0.62,0.043,TRUE,0,Qualifying
080010085523,1,0,0.56,0.46,0.54,0.37,0.04,FALSE,0,Not Qualifying
080010085531,1,0.42,0.55,0.85,0.15,0.12,0,FALSE,0,Not Qualifying
080010085532,1,0.54,0.44,0.77,0.23,0.48,0.077,FALSE,0,Not Qualifying
080010085541,1,0.36,0.98,0.43,0.57,0.62,0.323,FALSE,0,Not Qualifying
080010085551,1,0.42,0,0.9,0.1,0.52,0.077,TRUE,0,Qualifying
080010085552,1,0.9,0.96,0.48,0.52,0.89,0.808,TRUE,0,Qualifying
080010085553,1,0.83,0,0.16,0.84,0.89,0.744,TRUE,0,Qualifying
080010085554,1,0.84,0.4,0.19,0.81,0.55,0.581,TRUE,0,Qualifying
080010085561,1,0.2,0.48,0.57,0.43,0.51,0.016,TRUE,0,Qualifying
080010085562,1,0.35,0.29,0.73,0.27,0.31,0.002,TRUE,0,Qualifying
080010085571,1,0.25,0.78,0.72,0.28,0.44,0.011,TRUE,0,Qualifying
080010085581,1,0.23,0.65,0.84,0.16,0.47,0,TRUE,0,Qualifying
080010085591,1,0.37,0.6,0.6,0.4,0.77,0.112,TRUE,0,Qualifying
080010085592,1,0.83,0.84,0.51,0.49,0.84,0.232,TRUE,0,Qualifying
080010085593,1,0.3,0.8,0.68,0.32,0.64,0.102,TRUE,0,Qualifying
080010085601,1,0.09,0.66,0.94,0.06,0.38,0,FALSE,0,Not Qualifying
080010085611,1,0.37,0.79,0.72,0.28,0.03,0,FALSE,0,Not Qualifying
080010085612,1,0.09,0,0.94,0.06,0.08,0.001,FALSE,0,Not Qualifying
080010085613,1,0,0.24,0.93,0.07,0.44,0,FALSE,0,Not Qualifying
080010085621,1,0.34,0.34,0.81,0.19,0.27,0.001,FALSE,0,Not Qualifying
080010085622,1,0.8,0.82,0.62,0.38,0.75,0.353,FALSE,0,Not Qualifying
080010085631,1,0,0.4,0.61,0.39,0.31,0.003,FALSE,0,Not Qualifying
080010085632,1,0.68,0.52,0.76,0.24,0.63,0.029,FALSE,0,Not Qualifying
080010085641,1,0.33,0.57,0.45,0.55,0.42,0.391,TRUE,0,Qualifying
080010085651,1,0.51,0.87,0.3,0.7,0.54,0.016,TRUE,0,Qualifying
080010085652,1,0,0.61,0.91,0.09,0.35,0.005,TRUE,0,Qualifying
080010085653,1,0.38,0.6,0.26,0.74,0.89,0.107,FALSE,0,Qualifying
080010085654,1,0.71,0.88,0.71,0.29,0.36,0.165,TRUE,0,Qualifying
080010085655,1,0.91,0.87,0.17,0.83,0.99,0.941,TRUE,0,Qualifying
080010086031,1,0.91,0.37,0.1,0.9,0.91,0.898,TRUE,1,Qualifying
080010086041,1,0,0.32,0.63,0.37,0.41,0.044,TRUE,0,Qualifying
080010086051,1,0.76,0.68,0.21,0.79,0.89,0.605,FALSE,0,Qualifying
080010086063,1,0.58,0.79,0.15,0.85,0.9,0.53,TRUE,0,Qualifying
080010086064,1,0.24,0.59,0.43,0.57,0.59,0.274,TRUE,0,Qualifying
080010087061,1,0.66,0.94,0.07,0.93,0.96,0.832,TRUE,1,Qualifying
080010087062,1,0.95,0.59,0.09,0.91,0.9,0.701,TRUE,1,Qualifying
080010087063,1,0.8,0.84,0.35,0.65,0.91,0.599,TRUE,1,Qualifying
080010087093,1,0.99,0.95,0.08,0.92,1,0.975,TRUE,1,Qualifying
080010087095,1,0.98,0,0.06,0.94,0.96,0.419,TRUE,1,Qualifying
080010087096,1,1,0,0.08,0.92,0.88,0.896,TRUE,1,Qualifying
080010088011,1,0.69,0.3,0.23,0.77,0.91,0.704,TRUE,1,Qualifying
080010088012,1,0.84,0.63,0.48,0.52,0.83,0.646,TRUE,1,Qualifying
080010088021,1,0.73,0.74,0.62,0.38,0.89,0.899,TRUE,1,Qualifying
080010088022,1,0.25,0.53,0.32,0.68,0.72,0.651,TRUE,1,Qualifying
080010088023,1,0.95,0.83,0.38,0.62,0.96,0.938,TRUE,1,Qualifying
080010089011,1,0.33,0.43,0.58,0.42,0.85,0.649,TRUE,1,Qualifying
080010090041,1,0.15,0.25,0.33,0.67,0.76,0.583,TRUE,0,Qualifying
080010090042,1,0.71,0.25,0.35,0.65,0.74,0.579,TRUE,0,Qualifying
080010090043,1,0.33,0.27,0.41,0.59,0.47,0.395,TRUE,0,Qualifying
080010091011,1,0.11,0,0.61,0.39,0.43,0.007,TRUE,0,Qualifying
080010091031,1,0.8,0.25,0.25,0.75,0.86,0.75,TRUE,1,Qualifying
080010091032,1,0.69,0.92,0.24,0.76,0.97,0.957,TRUE,1,Qualifying
080010091041,1,0.5,0.27,0.54,0.46,0.67,0.596,TRUE,1,Qualifying
080010091042,1,0.59,0.27,0.6,0.4,0.59,0.076,TRUE,1,Qualifying
080010092032,1,0.54,0.55,0.36,0.64,0.92,0.85,TRUE,1,Qualifying
080010092041,1,0.59,0.56,0.45,0.55,0.71,0.165,TRUE,0,Qualifying
080010092044,1,0.78,0.35,0.15,0.85,0.7,0.171,TRUE,0,Qualifying
080010092061,1,0.37,0.61,0.47,0.53,0.6,0.003,TRUE,0,Qualifying
080010093041,1,0,0.45,0.53,0.47,0.63,0.146,TRUE,0,Qualifying
080010093043,1,0.13,0.32,0.05,0.95,0.82,0.75,TRUE,0,Qualifying
080010093044,1,0.11,0.37,0.63,0.37,0.52,0.043,FALSE,0,Not Qualifying
080010093093,1,0.38,0.95,0.09,0.91,0.83,0.861,TRUE,1,Qualifying
080010093161,1,0.53,0.88,0.36,0.64,0.84,0.755,TRUE,1,Qualifying
080010093181,1,0.95,0.9,0.05,0.95,0.96,0.993,TRUE,1,Qualifying
080010093182,1,0.73,0.74,0.26,0.74,0.9,0.88,TRUE,1,Qualifying
080010093183,1,0.82,0,0.34,0.66,0.71,0.281,TRUE,1,Qualifying
080010093191,1,0,0.23,0.26,0.74,0.63,0.277,TRUE,1,Qualifying
080010093192,1,0.71,0.52,0.1,0.9,0.92,0.365,TRUE,1,Qualifying
080010093193,1,0.98,0.98,0.05,0.95,0.98,0.999,TRUE,1,Qualifying
080010093201,1,0.88,0.77,0.05,0.95,0.97,0.997,TRUE,1,Qualifying
080010093202,1,0.72,0.58,0.25,0.75,0.9,0.776,TRUE,1,Qualifying
080010093231,1,0.73,0.74,0.46,0.54,0.76,0.454,TRUE,0,Qualifying
080010093232,1,0.93,0,0.12,0.88,0.86,0.706,TRUE,0,Qualifying
080010093251,1,0.64,0,0.2,0.8,0.31,0.107,TRUE,0,Qualifying
080010093252,1,0.37,0.35,0.8,0.2,0.5,0.009,FALSE,0,Not Qualifying
080010093253,1,0.74,0,0.16,0.84,0.29,0.015,FALSE,0,Not Qualifying
080010093261,1,0.48,0.69,0.6,0.4,0.65,0.097,TRUE,0,Qualifying
080010093262,1,0.28,0.45,0.84,0.16,0.23,0.004,FALSE,0,Not Qualifying
080010093271,1,0.2,0.21,0.82,0.18,0.25,0,FALSE,0,Not Qualifying
080010093273,1,0.61,0.33,0.37,0.63,0.84,0.406,TRUE,0,Qualifying
080010093274,1,0.37,0,0.79,0.21,0.28,0.064,FALSE,0,Not Qualifying
080010094011,1,0.28,0.35,0.64,0.36,0.25,0.019,TRUE,0,Qualifying
080010094012,1,0.76,0.48,0.57,0.43,0.53,0.168,TRUE,0,Qualifying
080010094013,1,0.58,0.24,0.69,0.31,0.44,0.032,TRUE,0,Qualifying
080010094071,1,0.47,0.48,0.21,0.79,0.61,0.077,TRUE,0,Qualifying
080010094072,1,0.67,0.72,0.32,0.68,0.78,0.238,TRUE,0,Qualifying
080010094081,1,0.36,0.39,0.84,0.16,0.46,0,FALSE,0,Not Qualifying
080010094082,1,0.09,0.68,0.83,0.17,0.1,0,FALSE,0,Not Qualifying
080010094092,1,0.44,0.95,0.76,0.24,0.23,0.002,FALSE,0,Not Qualifying
080010094093,1,0.23,0.23,0.7,0.3,0.49,0.008,FALSE,0,Not Qualifying
080010094102,1,0.14,0.73,0.95,0.05,0.35,0,FALSE,0,Not Qualifying
080010095532,1,0.19,0.42,0.51,0.49,0.61,0.23,TRUE,1,Qualifying
080010096071,1,0.34,0.91,0.77,0.23,0.41,0.204,TRUE,0,Qualifying
080010096072,1,0.26,0.27,0.28,0.72,0.38,0.016,TRUE,0,Qualifying
080010096081,1,0.44,0.9,0.37,0.63,0.68,0.145,FALSE,0,Not Qualifying
080010097511,1,0.86,0.82,0.21,0.79,0.92,0.948,TRUE,1,Qualifying
080010097512,1,0.87,0.57,0.37,0.63,0.88,0.608,TRUE,1,Qualifying
080010150001,1,0.63,0.96,0.21,0.79,0.87,0.867,TRUE,1,Qualifying
080010150002,1,0.3,0.62,0.03,0.97,0.73,0.75,TRUE,1,Qualifying
080010150003,1,0.99,0,0.09,0.91,0.94,0.953,TRUE,1,Qualifying
080010600011,1,0.64,0.36,0.43,0.57,0.8,0.053,FALSE,0,Qualifying
080010600012,1,0.53,0.22,0.95,0.05,0.09,0,FALSE,0,Not Qualifying
080010600021,1,0.31,0.5,0.73,0.27,0.37,0.013,FALSE,0,Not Qualifying
080010600022,1,0.28,0.53,0.81,0.19,0.18,0.012,FALSE,0,Not Qualifying
080010600023,1,0.3,0.39,0.95,0.05,0.46,0,FALSE,0,Not Qualifying
080010601001,1,0.14,0.27,0.82,0.18,0.37,0,FALSE,0,Not Qualifying
080010601002,1,0.42,0.24,0.55,0.45,0.8,0.365,TRUE,0,Qualifying
080010601003,1,0.32,0.46,0.9,0.1,0.53,0.059,TRUE,0,Qualifying
080010602001,1,0.25,0.43,0.27,0.73,0.79,0.194,TRUE,0,Qualifying
080010602002,1,0.65,0,0.87,0.13,0.24,0.015,FALSE,0,Not Qualifying
080010612001,1,0.27,0.39,0.93,0.07,0.13,0,FALSE,0,Not Qualifying
080010612002,1,0.3,0.22,0.85,0.15,0.13,0,FALSE,0,Not Qualifying
080039600001,1,0.49,0.59,0.17,0.83,0.75,0.141,TRUE,1,Qualifying
080039600002,1,0.5,0.43,0.22,0.78,0.66,0.044,TRUE,1,Qualifying
080039601001,1,0.34,0.23,0.47,0.53,0.53,0.215,FALSE,0,Not Qualifying
080039601002,1,0.57,0.8,0.18,0.82,0.75,0.391,TRUE,0,Qualifying
080039601003,1,0.81,0,0.18,0.82,0.86,0.137,TRUE,0,Qualifying
080039602011,1,0.73,0,0.09,0.91,0.8,0.451,TRUE,0,Qualifying
080039602012,1,0.95,0,0.38,0.62,0.97,0.99,TRUE,0,Qualifying
080039602013,1,0.52,0.27,0.09,0.91,0.7,0.428,TRUE,0,Qualifying
080039602021,1,0.69,0.82,0.45,0.55,0.43,0.454,TRUE,0,Qualifying
080039602022,1,0.76,0.89,0.14,0.86,0.74,0.767,FALSE,0,Not Qualifying
080039602023,1,0.9,0.68,0.08,0.92,0.93,0.977,TRUE,0,Qualifying
080039603001,1,0.81,0.25,0.13,0.87,0.92,0.912,TRUE,1,Qualifying
080039603002,1,0.97,0.74,0.12,0.88,0.99,0.983,TRUE,1,Qualifying
080039603003,1,0.87,0.5,0.13,0.87,0.99,0.998,TRUE,1,Qualifying
080039603004,1,0.75,0,0.1,0.9,0.78,0.9,TRUE,1,Qualifying
080050055513,1,0.63,0.97,0.36,0.64,0.83,0.78,TRUE,1,Qualifying
080050055521,1,0.76,0,0.06,0.94,0.72,0.797,TRUE,1,Qualifying
080050055523,1,0.67,0.92,0.15,0.85,0.74,0.733,TRUE,1,Qualifying
080050055533,1,0.84,0.94,0.25,0.75,0.8,0.503,TRUE,0,Qualifying
080050056111,1,0.57,0,0.92,0.08,0.29,0.006,FALSE,0,Not Qualifying
080050056112,1,0.55,0.31,0.6,0.4,0.02,0.001,FALSE,0,Not Qualifying
080050056121,1,0.21,0,0.99,0,0.12,0,FALSE,0,Not Qualifying
080050056141,1,0.32,0,0.78,0.22,0.07,0,FALSE,0,Not Qualifying
080050056142,1,0.17,0.92,0.4,0.6,0.37,0.1,FALSE,0,Not Qualifying
080050056143,1,0.57,0.39,0.42,0.58,0.51,0.065,FALSE,0,Not Qualifying
080050056191,1,0.43,0.77,0.87,0.13,0.39,0,FALSE,0,Not Qualifying
080050056192,1,0.58,0.39,0.68,0.32,0.2,0,FALSE,0,Not Qualifying
080050056193,1,0.13,0.27,0.74,0.26,0.38,0.017,FALSE,0,Not Qualifying
080050056194,1,0.54,0.5,0.51,0.49,0.28,0.145,FALSE,0,Not Qualifying
080050056211,1,0.18,0.78,0.76,0.24,0.19,0,FALSE,0,Not Qualifying
080050056212,1,0.35,0.75,0.91,0.09,0.35,0,FALSE,0,Not Qualifying
080050056221,1,0.11,0.22,0.99,0,0.06,0,FALSE,0,Not Qualifying
080050056222,1,0.37,0.26,0.81,0.19,0.08,0,FALSE,0,Not Qualifying
080050056231,1,0.35,0.29,0.84,0.16,0.33,0,FALSE,0,Not Qualifying
080050056233,1,0.44,0.54,0.42,0.58,0.43,0.014,FALSE,0,Not Qualifying
080050056261,1,0.41,0.79,0.71,0.29,0.32,0,FALSE,0,Not Qualifying
080050056271,1,0.43,0.4,0.64,0.36,0.05,0,FALSE,0,Not Qualifying
080050056272,1,0.18,0.53,0.86,0.14,0.21,0,FALSE,0,Not Qualifying
080050056281,1,0,0.76,0.79,0.21,0.03,0,FALSE,0,Not Qualifying
080050056283,1,0.12,0.8,0.61,0.39,0.42,0,FALSE,0,Not Qualifying
080050056284,1,0.11,0.99,0.85,0.15,0.44,0.039,FALSE,0,Not Qualifying
080050056291,1,0.38,0.26,0.97,0.03,0.2,0,FALSE,0,Not Qualifying
080050056292,1,0.45,0.71,0.92,0.08,0.54,0.101,FALSE,0,Not Qualifying
080050056302,1,0,0,0.87,0.13,0.01,0,FALSE,0,Not Qualifying
080050056312,1,0.37,0.78,0.67,0.33,0.3,0.002,FALSE,0,Not Qualifying
080050056313,1,0.18,0.43,0.8,0.2,0.18,0,FALSE,0,Not Qualifying
080050056321,1,0.14,0.89,0.92,0.08,0.29,0.002,FALSE,0,Not Qualifying
080050056322,1,0.09,0.37,0.88,0.12,0.08,0,FALSE,0,Not Qualifying
080050056331,1,0.14,0.42,0.91,0.09,0.02,0,FALSE,0,Not Qualifying
080050056341,1,0.2,0.41,0.62,0.37,0.04,0,FALSE,0,Not Qualifying
080050056342,1,0.59,0.97,0.2,0.8,0.62,0.166,FALSE,0,Not Qualifying
080050056354,1,0.16,0,0.67,0.33,0.04,0,FALSE,0,Not Qualifying
080050056361,1,0.17,0.54,0.99,0,0.18,0,FALSE,0,Not Qualifying
080050056362,1,0,0.52,0.99,0,0.46,0.009,FALSE,0,Not Qualifying
080050059512,1,0.45,0,0.04,0.96,0.49,0.232,TRUE,0,Qualifying
080050059513,1,0.56,0,0.1,0.9,0.63,0.76,TRUE,0,Qualifying
080050059514,1,0.61,0,0.18,0.82,0.42,0.534,TRUE,0,Qualifying
080050059522,1,0.65,0.47,0.36,0.64,0.51,0.013,TRUE,0,Qualifying
080050061001,1,0.91,0.75,0.13,0.87,0.79,0.205,TRUE,0,Qualifying
080050061002,1,0.31,0.29,0.24,0.76,0.53,0.181,TRUE,0,Qualifying
080050065011,1,0.96,0,0.01,0.99,0.71,0.41,FALSE,0,Not Qualifying
080050067041,1,0.3,0.57,0.99,0.01,0.22,0.039,FALSE,0,Not Qualifying
080050067042,1,0,0.42,0.99,0,0.07,0,FALSE,0,Not Qualifying
080050067043,1,0.24,0.55,0.99,0,0.14,0.002,FALSE,0,Not Qualifying
080050067044,1,0.39,0,0.99,0,0.13,0.008,FALSE,0,Not Qualifying
080050067051,1,0.33,0.51,0.99,0,0.23,0,FALSE,0,Not Qualifying
080050067061,1,0.37,0.6,0.8,0.2,0.28,0.008,FALSE,0,Not Qualifying
080050067062,1,0.12,0.38,0.74,0.26,0.38,0,FALSE,0,Not Qualifying
080050067063,1,0,0.58,0.96,0.04,0.03,0.002,FALSE,0,Not Qualifying
080050067081,1,0.32,0.43,0.95,0.05,0.2,0,FALSE,0,Not Qualifying
080050067082,1,0.26,0.76,0.82,0.18,0.35,0.007,FALSE,0,Not Qualifying
080050067094,1,0.34,0.55,0.89,0.11,0.1,0.002,FALSE,0,Not Qualifying
080050067113,1,0,0,0.97,0.03,0.04,0.004,FALSE,0,Not Qualifying
080050067114,1,0.4,0.72,0.88,0.12,0.43,0.004,FALSE,0,Not Qualifying
080050067121,1,0,0.32,0.96,0.04,0.06,0.006,FALSE,0,Not Qualifying
080050068081,1,0.11,0.44,0.99,0,0.21,0,FALSE,0,Not Qualifying
080050068082,1,0.27,0,0.83,0.17,0.4,0.02,FALSE,0,Not Qualifying
080050068083,1,0.46,0.44,0.94,0.06,0.5,0,FALSE,0,Not Qualifying
080050068541,1,0.55,0.29,0.4,0.6,0.72,0.18,TRUE,0,Qualifying
080050068542,1,0.23,0,0.94,0.06,0.16,0,FALSE,0,Not Qualifying
080050068611,1,0.38,0.61,0.82,0.18,0.3,0.006,FALSE,0,Not Qualifying
080050068612,1,0,0.33,0.98,0.02,0.36,0.008,FALSE,0,Not Qualifying
080050068613,1,0,0.36,0.98,0.02,0.22,0.001,FALSE,0,Not Qualifying
080050068621,1,0.16,0.33,0.66,0.34,0.74,0.025,FALSE,0,Not Qualifying
080050068622,1,0,0,0.97,0.03,0.18,0.021,FALSE,0,Not Qualifying
080050068631,1,0.48,0.7,0.19,0.81,0.84,0.332,TRUE,0,Qualifying
080050068632,1,0.86,0.56,0.49,0.51,0.63,0.257,FALSE,0,Not Qualifying
080050068633,1,0.2,0.4,0.21,0.79,0.61,0.125,TRUE,0,Qualifying
080050068641,1,0.3,0.53,0.74,0.26,0.31,0,FALSE,0,Not Qualifying
080050068642,1,0.3,0.53,0.74,0.26,0.23,0.683,TRUE,0,Qualifying
080050071011,1,0.81,0.86,0.56,0.44,0.57,0.13,FALSE,0,Not Qualifying
080050071012,1,0.29,0.97,0.57,0.43,0.59,0.304,FALSE,0,Not Qualifying
080050071013,1,0.72,0.23,0.5,0.5,0.53,0.043,FALSE,0,Not Qualifying
080050071014,1,0.33,0.54,0.79,0.21,0.21,0.003,FALSE,0,Not Qualifying
080050071031,1,0.32,0.27,0.84,0.16,0.23,0,FALSE,0,Not Qualifying
080050071061,1,0.13,0.55,0.87,0.13,0.43,0,FALSE,0,Not Qualifying
080050071062,1,0.38,0.77,0.83,0.17,0.46,0,FALSE,0,Not Qualifying
080050071081,1,0,0.93,0.19,0.81,0.62,0.075,TRUE,0,Qualifying
080050071082,1,0.4,0.95,0.78,0.22,0.65,0.083,TRUE,0,Qualifying
080050071091,1,0.29,0.38,0.83,0.17,0.34,0,TRUE,0,Qualifying
080050071101,1,0.23,0.67,0.82,0.18,0.54,0.027,TRUE,0,Qualifying
080050071102,1,0.48,0.86,0.51,0.49,0.61,0.054,TRUE,0,Qualifying
080050071103,1,0.27,0,0.78,0.22,0.32,0,TRUE,0,Qualifying
080050071111,1,0.39,0.75,0.36,0.64,0.81,0.971,TRUE,0,Qualifying
080050071121,1,0.33,0.63,0.9,0.1,0.47,0.001,FALSE,0,Not Qualifying
080050071122,1,0.79,0.77,0.8,0.2,0.67,0.32,FALSE,0,Not Qualifying
080050071131,1,0.1,0.38,0.96,0.04,0.2,0,FALSE,0,Not Qualifying
080050071132,1,0.18,0.39,0.96,0.04,0.26,0,FALSE,0,Not Qualifying
080050072012,1,0.64,0.64,0.21,0.79,0.84,0.858,TRUE,1,Qualifying
080050072013,1,0.95,0.97,0.02,0.98,0.96,0.983,TRUE,1,Qualifying
080050073011,1,0.75,0.78,0.19,0.81,0.9,0.319,TRUE,1,Qualifying
080050073021,1,0.9,0.93,0.02,0.98,0.99,1,TRUE,1,Qualifying
080050074001,1,0.98,0.79,0.06,0.94,0.99,0.955,TRUE,1,Qualifying
080050074002,1,0.88,0,0.36,0.64,0.97,0.848,TRUE,1,Qualifying
080050074003,1,0.74,0.93,0.37,0.63,0.77,0.714,TRUE,1,Qualifying
080050075001,1,0.8,0.51,0.3,0.7,0.89,0.718,TRUE,1,Qualifying
080050075002,1,0.83,0.87,0.38,0.62,0.88,0.789,TRUE,1,Qualifying
080050077023,1,0.2,0.44,0.26,0.74,0.46,0.557,TRUE,0,Qualifying
080050077033,1,0.95,0.84,0.22,0.78,0.91,0.845,TRUE,0,Qualifying
080050800001,1,0.68,0.76,0.15,0.85,0.76,0.488,TRUE,1,Qualifying
080050804002,1,0.41,0.84,0.71,0.29,0.54,0.046,TRUE,0,Qualifying
080050809001,1,0.57,0.75,0.5,0.5,0.78,0.402,TRUE,1,Qualifying
080050810011,1,0.71,0,0.22,0.78,0.73,0.517,TRUE,1,Qualifying
080050810021,1,0.77,0,0.31,0.69,0.87,0.311,TRUE,1,Qualifying
080050810022,1,0.16,0.97,0.24,0.76,0.77,0.168,TRUE,1,Qualifying
080050810023,1,0.97,0.73,0.08,0.92,0.98,0.99,TRUE,1,Qualifying
080050811011,1,0.54,0.97,0.22,0.78,0.97,0.798,TRUE,0,Qualifying
080050811012,1,0.33,0,0.72,0.28,0.72,0.011,TRUE,0,Qualifying
080050814002,1,0.54,0.37,0.41,0.59,0.68,0.199,TRUE,0,Qualifying
080050814004,1,0,0.39,0.56,0.44,0.34,0.118,TRUE,0,Qualifying
080050815001,1,0.66,0,0.11,0.89,0.3,0.093,FALSE,0,Not Qualifying
080050815002,1,0.21,0,0.06,0.94,0.09,0.109,FALSE,0,Not Qualifying
080050815003,1,0,0,0.23,0.77,0.01,0.007,FALSE,0,Not Qualifying
080050816001,1,0.28,1,0.37,0.63,0.82,0.592,TRUE,0,Qualifying
080050816002,1,0.2,0.69,0.32,0.68,0.53,0.029,TRUE,0,Qualifying
